ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00314DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00315DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00316DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00317DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00318DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00319DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00320DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00321DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00322DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00323DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00324DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00325DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00326DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00327DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00328DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00329DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00330DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00331DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00332DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00333DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00334DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00335DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00336DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00337DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00338DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00339DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00340DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00341DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00342DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00343DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00344DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00345DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00346DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00347DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00348DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00349DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00350DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00351DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00352DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00353DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00354DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00355DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00356DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00357DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00358DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00359DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00360DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00361DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00362DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00363DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00364DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00365DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00366DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00367DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00368DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00369DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00370DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00371DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00372DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
