id	band	time	status	X0	Y0	Z0	omega	phi	kappa
K00309DC	3	 1278,986000	adjusted	342873,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00310DC	3	 1283,203000	adjusted	342857,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00311DC	3	 1287,203000	adjusted	342841,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00312DC	3	 1291,389000	adjusted	342825,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00313DC	3	 1295,387000	adjusted	342809,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00314DC	3	 1299,587000	adjusted	342792,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00315DC	3	 1303,587000	adjusted	342776,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00316DC	3	 1307,787000	adjusted	342759,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00317DC	3	 1311,788000	adjusted	342743,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00318DC	3	 1315,988000	adjusted	342727,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00319DC	3	 1319,987000	adjusted	342711,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00320DC	3	 1324,202000	adjusted	342695,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00321DC	3	 1328,204000	adjusted	342679,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00322DC	3	 1332,387000	adjusted	342663,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00323DC	3	 1336,391000	adjusted	342647,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00324DC	3	 1340,590000	adjusted	342631,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00325DC	3	 1344,789000	adjusted	342615,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00326DC	3	 1348,790000	adjusted	342599,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00327DC	3	 1352,989000	adjusted	342582,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00328DC	3	 1356,988000	adjusted	342566,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00329DC	3	 1361,204000	adjusted	342550,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00330DC	3	 1365,203000	adjusted	342533,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00331DC	3	 1369,389000	adjusted	342517,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00332DC	3	 1373,388000	adjusted	342500,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00333DC	3	 1377,589000	adjusted	342483,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00334DC	3	 1381,589000	adjusted	342467,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00335DC	3	 1385,790000	adjusted	342450,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00336DC	3	 1389,786000	adjusted	342434,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00337DC	3	 1393,988000	adjusted	342418,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00338DC	3	 1397,989000	adjusted	342402,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00339DC	3	 1402,207000	adjusted	342386,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00340DC	3	 1406,205000	adjusted	342370,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00341DC	3	 1410,389000	adjusted	342354,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00342DC	3	 1414,397000	adjusted	342338,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00343DC	3	 1418,588000	adjusted	342322,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00344DC	3	 1422,589000	adjusted	342306,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00345DC	3	 1426,790000	adjusted	342289,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00346DC	3	 1430,789000	adjusted	342273,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00347DC	3	 1434,989000	adjusted	342257,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00348DC	3	 1438,988000	adjusted	342241,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00349DC	3	 1443,210000	adjusted	342225,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00350DC	3	 1447,388000	adjusted	342208,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00351DC	3	 1451,388000	adjusted	342192,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00352DC	3	 1455,588000	adjusted	342176,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00353DC	3	 1459,588000	adjusted	342160,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00354DC	3	 1463,789000	adjusted	342144,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00355DC	3	 1467,789000	adjusted	342130,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00356DC	3	 1471,990000	adjusted	342117,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00357DC	3	 1475,992000	adjusted	342104,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00358DC	3	 1480,206000	adjusted	342090,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00359DC	3	 1484,208000	adjusted	342076,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
