ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00229DC	 1273.7860 	 0.000000000 	 0.031948882 	 -0.120207668 	 0.012779553 	 0.057907348 	 0.000000000
K00230DC	 1278.7790 	 0.000000000 	 0.027438414 	 0.063889445 	 -0.102543561 	 0.036050471 	 0.000000000
K00231DC	 1283.7800 	 0.000000000 	 0.029594081 	 -0.027994401 	 0.055588882 	 0.019996001 	 0.000000000
K00232DC	 1288.7780 	 0.000200080 	 -0.170468187 	 -0.064025610 	 0.015806323 	 -0.116046419 	 0.000000000
K00233DC	 1293.7770 	 0.000000000 	 0.031806361 	 0.118223645 	 -0.036207241 	 -0.036007201 	 0.000000000
K00234DC	 1298.7860 	 0.000000000 	 0.015771611 	 -0.067678179 	 0.088041525 	 0.003992813 	 0.000000000
K00235DC	 1303.7880 	 0.000000000 	 0.000599760 	 -0.058776489 	 -0.125949620 	 0.059976010 	 0.000000000
K00236DC	 1308.7840 	 0.000000000 	 -0.002802242 	 0.085668535 	 0.026421137 	 0.042033627 	 0.000000000
K00237DC	 1313.7800 	 0.000000000 	 0.001601281 	 -0.002401922 	 -0.013410729 	 -0.028022418 	 0.000000000
K00238DC	 1318.7820 	 0.000000000 	 0.000999600 	 0.084966014 	 0.014994002 	 0.069972011 	 0.000000000
K00239DC	 1323.7820 	 0.000000000 	 0.001000000 	 -0.177800000 	 0.063000000 	 -0.132000000 	 0.000000000
K00240DC	 1328.7820 	 0.000000000 	 0.001200000 	 0.006200000 	 0.087600000 	 0.112000000 	 0.000000000
K00241DC	 1333.7820 	 0.000000000 	 -0.000400000 	 0.150600000 	 -0.010200000 	 -0.124000000 	 0.000000000
K00242DC	 1338.7820 	 0.000000000 	 0.000400000 	 -0.114600000 	 0.019800000 	 0.070000000 	 0.000000000
K00243DC	 1343.7820 	 0.000000000 	 -0.000800000 	 0.143200000 	 -0.130600000 	 -0.038000000 	 0.000000000
K00244DC	 1348.7830 	 0.000000000 	 0.000199960 	 -0.181563687 	 -0.046190762 	 -0.061987602 	 0.000000000
K00245DC	 1353.7800 	 0.000000000 	 -0.001200720 	 0.072443466 	 0.017410446 	 0.106063638 	 0.000000000
K00246DC	 1358.7810 	 0.000000000 	 -0.000399920 	 -0.011397720 	 0.144971006 	 0.039992002 	 0.000000000
K00247DC	 1363.7830 	 0.000000000 	 0.000399840 	 0.090963615 	 -0.133146741 	 -0.107956817 	 0.000000000
