ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00184DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00185DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00186DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00187DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00188DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00189DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00190DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00191DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00192DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00193DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00194DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00195DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00196DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00197DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00198DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00199DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00200DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00201DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00202DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00203DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00204DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00205DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00206DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00207DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00208DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00209DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00210DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00211DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00212DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00213DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00214DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00215DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00216DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00217DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00218DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00219DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00220DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00221DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00222DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00223DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00224DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00225DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00226DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00227DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00228DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00229DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00230DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00231DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00232DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00233DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00234DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00235DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00236DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00237DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00238DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00239DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00240DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00241DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
